id,Time,LOAD,ELONGATION,TIME,EXTENSION,,Stress(N/m2),strain,,Max Stress,37881315
1, 2025-09-04 13:37:35,0,0,0.2,0,,0,0,,,
2, 2025-09-04 13:37:36,0.16,0,0.4,0,,87200,0,,,
3, 2025-09-04 13:37:36,0.781,0,0.6,0,,425645,0,,,
4, 2025-09-04 13:37:36,1.912,0,0.8,0,,1042040,0,,,
5, 2025-09-04 13:37:36,3.263,0,1,0,,1778335,0,,,
6, 2025-09-04 13:37:36,4.634,0,1.2,0,,2525530,0,,,
7, 2025-09-04 13:37:37,6.015,0,1.5,0,,3278175,0,,,
8, 2025-09-04 13:37:37,7.366,0,1.7,0,,4014470,0,,,
9, 2025-09-04 13:37:37,8.037,0,1.9,0.0031,,4380165,8.61E-05,,,
10, 2025-09-04 13:37:37,8.707,0,2,0.0031,,4745315,8.61E-05,,,
11, 2025-09-04 13:37:37,9.368,0,2,0.0327,,5105560,0.000908333,,,
12, 2025-09-04 13:37:37,10.689,0,2.1,0.0327,,5825505,0.000908333,,,
13, 2025-09-04 13:37:38,11.98,0,2.3,0.0452,,6529100,0.001255556,,,
14, 2025-09-04 13:37:38,13.261,0,2.5,0.0452,,7227245,0.001255556,,,
15, 2025-09-04 13:37:38,14.542,0,2.8,0.0452,,7925390,0.001255556,,,
16, 2025-09-04 13:37:38,15.803,0,3,0.0452,,8612635,0.001255556,,,
17, 2025-09-04 13:37:38,16.413,0,3.1,0.0452,,8945085,0.001255556,,,
18, 2025-09-04 13:37:38,16.413,0,3.2,0.0452,,8945085,0.001255556,,,
19, 2025-09-04 13:37:39,17.634,0,3.3,0.0561,,9610530,0.001558333,,,
20, 2025-09-04 13:37:39,18.225,0,3.3,0.0561,,9932625,0.001558333,,,
21, 2025-09-04 13:37:39,18.775,0,3.4,0.0561,,10232375,0.001558333,,,
22, 2025-09-04 13:37:39,19.666,0,3.6,0.0873,,10717970,0.002425,,,
23, 2025-09-04 13:37:39,20.287,0,3.9,0.0873,,11056415,0.002425,,,
24, 2025-09-04 13:37:39,20.747,0,4.1,0.0966,,11307115,0.002683333,,,
25, 2025-09-04 13:37:40,21.207,0,4.3,0.0966,,11557815,0.002683333,,,
26, 2025-09-04 13:37:40,21.207,0,4.4,0.0966,,11557815,0.002683333,,,
27, 2025-09-04 13:37:40,21.658,0,4.4,0.0966,,11803610,0.002683333,,,
28, 2025-09-04 13:37:40,22.118,0,4.7,0.0966,,12054310,0.002683333,,,
29, 2025-09-04 13:37:40,22.598,0,4.8,0.0966,,12315910,0.002683333,,,
30, 2025-09-04 13:37:40,22.598,0,4.9,0.0997,,12315910,0.002769444,,,
31, 2025-09-04 13:37:40,22.849,0,5,0.0997,,12452705,0.002769444,,,
32, 2025-09-04 13:37:40,23.379,0,5.2,0.1122,,12741555,0.003116667,,,
33, 2025-09-04 13:37:41,23.649,0,5.3,0.1122,,12888705,0.003116667,,,
34, 2025-09-04 13:37:41,23.649,0,5.4,0.1122,,12888705,0.003116667,,,
35, 2025-09-04 13:37:41,24.22,0,5.4,0.1153,,13199900,0.003202778,,,
36, 2025-09-04 13:37:41,24.81,0,5.7,0.1153,,13521450,0.003202778,,,
37, 2025-09-04 13:37:41,25.121,0,5.8,0.1153,,13690945,0.003202778,,,
38, 2025-09-04 13:37:41,25.441,0,5.9,0.1153,,13865345,0.003202778,,,
39, 2025-09-04 13:37:41,26.422,0,6.1,0.1153,,14399990,0.003202778,,,
40, 2025-09-04 13:37:41,26.772,0,6.2,0.1153,,14590740,0.003202778,,,
41, 2025-09-04 13:37:42,26.772,0,6.3,0.1153,,14590740,0.003202778,,,
42, 2025-09-04 13:37:43,31.195,0,7.4,0.148,,17001275,0.004111111,,,
43, 2025-09-04 13:37:43,31.966,0,7.6,0.148,,17421470,0.004111111,,,
44, 2025-09-04 13:37:43,32.346,0,7.9,0.148,,17628570,0.004111111,,,
45, 2025-09-04 13:37:43,33.117,0,8,0.148,,18048765,0.004111111,,,
46, 2025-09-04 13:37:43,34.288,0,8.2,0.1574,,18686960,0.004372222,,,
47, 2025-09-04 13:37:44,35.079,0,8.5,0.173,,19118055,0.004805556,,,
48, 2025-09-04 13:37:44,35.869,0,8.7,0.173,,19548605,0.004805556,,,
49, 2025-09-04 13:37:44,35.869,0,8.7,0.1823,,19548605,0.005063889,,,
50, 2025-09-04 13:37:44,36.26,0,8.8,0.1823,,19761700,0.005063889,,,
51, 2025-09-04 13:37:44,37.04,0,8.9,0.1823,,20186800,0.005063889,,,
52, 2025-09-04 13:37:44,37.841,0,9.1,0.1823,,20623345,0.005063889,,,
53, 2025-09-04 13:37:45,38.672,0,9.4,0.1823,,21076240,0.005063889,,,
54, 2025-09-04 13:37:45,39.572,0,9.6,0.1823,,21566740,0.005063889,,,
55, 2025-09-04 13:37:45,39.572,0,9.7,0.1901,,21566740,0.005280556,,,
56, 2025-09-04 13:37:45,40.063,0,9.8,0.1901,,21834335,0.005280556,,,
57, 2025-09-04 13:37:45,41.084,0,9.8,0.1901,,22390780,0.005280556,,,
58, 2025-09-04 13:37:45,42.134,0,10,0.2182,,22963030,0.006061111,,,
59, 2025-09-04 13:37:46,43.195,0,10.2,0.2291,,23541275,0.006363889,,,
60, 2025-09-04 13:37:46,44.246,0,10.5,0.2291,,24114070,0.006363889,,,
61, 2025-09-04 13:37:46,45.267,0,10.7,0.2291,,24670515,0.006363889,,,
62, 2025-09-04 13:37:46,45.777,0,10.8,0.2291,,24948465,0.006363889,,,
63, 2025-09-04 13:37:46,46.798,0,10.9,0.2291,,25504910,0.006363889,,,
64, 2025-09-04 13:37:46,46.798,0,11,0.2291,,25504910,0.006363889,,,
65, 2025-09-04 13:37:46,47.319,0,11.1,0.2291,,25788855,0.006363889,,,
66, 2025-09-04 13:37:46,47.819,0,11.1,0.2369,,26061355,0.006580556,,,
67, 2025-09-04 13:37:47,48.83,0,11.3,0.2369,,26612350,0.006580556,,,
68, 2025-09-04 13:37:47,49.811,0,11.6,0.2665,,27146995,0.007402778,,,
69, 2025-09-04 13:37:47,50.301,0,11.7,0.2665,,27414045,0.007402778,,,
70, 2025-09-04 13:37:47,50.301,0,11.8,0.2665,,27414045,0.007402778,,,
71, 2025-09-04 13:37:47,51.282,0,11.8,0.2805,,27948690,0.007791667,,,
72, 2025-09-04 13:37:47,52.273,0,12.1,0.2805,,28488785,0.007791667,,,
73, 2025-09-04 13:37:47,53.264,0,12.2,0.2805,,29028880,0.007791667,,,
74, 2025-09-04 13:37:48,53.754,0,12.3,0.2805,,29295930,0.007791667,,,
75, 2025-09-04 13:37:48,54.244,0,12.4,0.2805,,29562980,0.007791667,,,
76, 2025-09-04 13:37:48,54.244,0,12.5,0.2805,,29562980,0.007791667,,,
77, 2025-09-04 13:37:48,54.725,0,12.5,0.2805,,29825125,0.007791667,,,
78, 2025-09-04 13:37:48,55.205,0,12.7,0.2805,,30086725,0.007791667,,,
79, 2025-09-04 13:37:48,56.176,0,12.9,0.2805,,30615920,0.007791667,,,
80, 2025-09-04 13:37:48,57.147,0,13.1,0.2899,,31145115,0.008052778,,,
81, 2025-09-04 13:37:49,58.578,0,13.3,0.2899,,31925010,0.008052778,,,
82, 2025-09-04 13:37:49,59.519,0,13.5,0.3226,,32437855,0.008961111,,,
83, 2025-09-04 13:37:49,60.459,0,13.7,0.3319,,32950155,0.009219444,,,
84, 2025-09-04 13:37:49,61.4,0,13.9,0.3319,,33463000,0.009219444,,,
85, 2025-09-04 13:37:49,62.321,0,14.1,0.3319,,33964945,0.009219444,,,
86, 2025-09-04 13:37:50,63.222,0,14.4,0.3319,,34455990,0.009219444,,,
87, 2025-09-04 13:37:50,63.672,0,14.5,0.3444,,34701240,0.009566667,,,
88, 2025-09-04 13:37:50,64.132,0,14.6,0.3444,,34951940,0.009566667,,,
89, 2025-09-04 13:37:50,64.583,0,14.7,0.3444,,35197735,0.009566667,,,
90, 2025-09-04 13:37:50,65.944,0,14.9,0.3818,,35939480,0.010605556,,,
91, 2025-09-04 13:37:50,66.835,0,15.1,0.3818,,36425075,0.010605556,,,
92, 2025-09-04 13:37:51,67.285,0,15.3,0.388,,36670325,0.010777778,,,
93, 2025-09-04 13:37:51,68.616,0,15.5,0.388,,37395720,0.010777778,,,
94, 2025-09-04 13:37:51,69.507,0,15.8,0.388,,37881315,0.010777778,,,
95, 2025-09-04 13:37:51,67.025,0,16,0.388,,36528625,0.010777778,,,
96, 2025-09-04 13:37:51,67.025,0,16.1,0.4052,,36528625,0.011255556,,,
97, 2025-09-04 13:37:51,45.707,0,16.2,0.4052,,24910315,0.011255556,,,
98, 2025-09-04 13:37:52,30.585,0,16.2,0.4052,,16668825,0.011255556,,,
99, 2025-09-04 13:37:52,15.463,0,16.3,0.4426,,8427335,0.012294444,,,
